DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2026
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Total"
"310690 BICAS";-;-;1;-;-;-;-;-;-;-;-;1;-;2
"310730 BOCAIUVA";7;12;7;10;18;19;32;26;42;24;39;71;12;319
"310740 BOM DESPACHO";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"310760 BOM JESUS DA PENHA";-;-;1;-;-;-;-;-;-;1;2;9;-;13
"310770 BOM JESUS DO AMPARO";1;-;-;-;-;-;-;-;1;-;-;-;-;2
"310780 BOM JESUS DO GALHO";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"310790 BOM REPOUSO";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"310810 BONFIM";-;-;-;1;-;1;-;-;-;-;-;-;-;2
"310820 BONFINOPOLIS DE MINAS";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"310825 BONITO DE MINAS";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"310830 BORDA DA MATA";-;-;1;-;-;1;-;-;-;1;-;-;-;3
"310850 BOTUMIRIM";-;-;-;-;1;1;3;1;6;3;4;-;-;19
"310855 BRASILANDIA DE MINAS";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"310860 BRASILIA DE MINAS";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"310870 BRAS PIRES";1;-;-;-;-;-;-;-;-;1;-;-;1;3
"310900 BRUMADINHO";2;1;-;1;5;1;3;-;-;2;-;-;-;15
"310925 BUGRE";-;-;-;-;1;-;2;2;1;3;1;1;-;11
"310930 BURITIS";1;-;1;-;-;-;2;1;-;1;1;-;-;7
"310945 CABECEIRA GRANDE";-;-;-;-;-;-;-;-;2;-;-;-;-;2
"310960 CACHOEIRA DA PRATA";1;-;-;-;-;-;-;-;-;-;1;-;-;2
"310980 CACHOEIRA DOURADA";-;-;-;1;-;-;1;1;3;2;-;-;-;8
"311000 CAETE";2;4;1;4;4;5;2;11;12;10;10;22;2;89
"311030 CALDAS";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"311040 CAMACHO";-;-;-;-;1;-;-;-;-;-;1;-;-;2
"311050 CAMANDUCAIA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"311080 CAMPANARIO";-;-;-;-;-;-;-;-;-;2;-;-;1;3
"311110 CAMPINA VERDE";1;5;3;3;1;2;3;4;6;5;3;-;-;36
"311120 CAMPO BELO";1;1;-;2;-;-;-;-;-;-;-;-;-;4
"311150 CAMPOS ALTOS";-;-;-;-;-;-;-;-;1;2;-;-;-;3
"311170 CANAA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"311180 CANAPOLIS";-;1;1;3;2;-;1;-;1;1;1;-;-;11
"311200 CANDEIAS";-;-;-;-;-;-;-;1;-;-;-;1;-;2
"311230 CAPELINHA";-;-;-;-;-;-;-;2;3;5;5;7;2;24
"311240 CAPETINGA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"311250 CAPIM BRANCO";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"311260 CAPINOPOLIS";3;4;3;4;3;18;30;26;33;34;39;33;1;231
"311265 CAPITAO ANDRADE";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"311270 CAPITAO ENEAS";48;104;62;50;35;52;45;41;29;35;34;17;4;556
"311280 CAPITOLIO";-;1;-;-;-;-;-;-;-;-;2;5;-;8
"311330 CARANGOLA";-;-;1;-;1;1;-;4;1;1;1;-;-;10
"311340 CARATINGA";-;-;-;-;1;-;2;1;5;10;14;8;-;41
"311360 CAREACU";2;-;-;-;-;-;-;-;-;-;-;-;-;2
"311390 CARMO DA CACHOEIRA";1;-;-;1;-;-;-;-;-;-;-;-;-;2
"311400 CARMO DA MATA";6;2;1;1;2;1;-;2;2;16;55;35;2;125
"311420 CARMO DO CAJURU";-;-;-;1;1;-;-;1;-;-;1;3;-;7
"311430 CARMO DO PARANAIBA";-;1;1;2;1;2;3;-;-;-;2;-;-;12
"311450 CARMOPOLIS DE MINAS";1;2;1;-;-;-;-;-;3;4;1;14;-;26
"311455 CARNEIRINHO";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"311500 CASCALHO RICO";-;-;-;-;2;1;-;-;-;1;-;-;-;4
"311510 CASSIA";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"311530 CATAGUASES";-;-;-;-;-;-;3;-;-;-;-;-;-;3
"311535 CATAS ALTAS";1;-;-;-;-;-;-;-;-;1;2;-;-;4
"311547 CATUTI";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"311550 CAXAMBU";-;-;-;-;-;-;-;-;-;1;-;6;2;9
"311580 CENTRALINA";-;-;2;-;-;1;-;-;-;-;-;-;-;3
"311590 CHACARA";1;-;-;-;-;-;-;-;-;-;-;3;-;4
"311600 CHALE";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"311610 CHAPADA DO NORTE";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"311615 CHAPADA GAUCHA";-;1;-;-;-;-;1;-;3;-;-;-;-;5
"311630 CIPOTANEA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"311660 CLAUDIO";-;-;-;-;1;2;-;-;8;12;8;6;-;37
"311690 COMENDADOR GOMES";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"311730 CONCEICAO DAS ALAGOAS";-;-;-;-;-;-;-;-;1;-;1;-;-;2
"311750 CONCEICAO DO MATO DENTRO";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"311760 CONCEICAO DO PARA";-;-;-;-;1;-;1;-;-;-;-;-;-;2
"311783 CONEGO MARINHO";-;-;-;-;-;-;-;-;-;1;1;1;-;3
"311787 CONFINS";-;-;-;-;1;-;-;2;-;-;1;-;-;4
"311790 CONGONHAL";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"311800 CONGONHAS";-;-;1;-;-;-;-;2;1;4;1;2;-;11
"311820 CONQUISTA";2;1;-;-;-;-;-;2;2;-;-;-;-;7
"311840 CONSELHEIRO PENA";3;-;-;3;1;1;-;1;3;-;1;1;-;14
"311860 CONTAGEM";-;-;-;-;2;7;4;6;1;3;-;1;-;24
"311880 CORACAO DE JESUS";-;1;-;-;-;-;3;-;-;1;1;1;-;7
"311910 CORINTO";1;1;1;1;-;-;-;-;-;-;3;4;-;11
"311930 COROMANDEL";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"311940 CORONEL FABRICIANO";4;5;6;3;2;2;3;4;2;3;1;-;-;35
"312000 CORREGO NOVO";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"312015 CRISOLITA";-;-;1;-;-;-;-;1;-;-;-;-;-;2
"312020 CRISTAIS";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"312030 CRISTALIA";-;-;-;-;1;-;-;-;1;1;-;-;-;3
"312060 CRUCILANDIA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"312080 CRUZILIA";-;4;-;1;3;4;4;4;2;-;-;-;-;22
"312083 CUPARAQUE";-;-;-;-;-;-;-;1;1;1;3;-;-;6
"312087 CURRAL DE DENTRO";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"312100 DATAS";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"312130 DESCOBERTO";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"312160 DIAMANTINA";3;6;5;5;7;5;6;14;12;20;25;14;3;125
"312170 DIOGO DE VASCONCELOS";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"312180 DIONISIO";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"312190 DIVINESIA";-;-;-;-;-;-;-;-;7;1;4;-;-;12
"312200 DIVINO";3;3;-;1;1;1;1;3;5;1;-;-;-;19
"312210 DIVINO DAS LARANJEIRAS";2;-;1;-;-;-;-;-;-;-;-;-;-;3
"312220 DIVINOLANDIA DE MINAS";1;-;-;-;1;1;-;1;-;-;1;-;-;5
"312230 DIVINOPOLIS";3;1;3;4;2;-;1;4;18;13;41;16;-;106
"312245 DIVISOPOLIS";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"312250 DOM CAVATI";-;-;2;1;1;-;-;-;-;-;-;-;-;4
"312260 DOM JOAQUIM";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"312270 DOM SILVERIO";-;4;-;-;2;-;1;-;1;3;-;-;-;11
"312300 DORES DE CAMPOS";-;-;-;-;-;-;-;-;-;1;1;1;-;3
"312320 DORES DO INDAIA";1;-;-;-;1;-;1;1;1;-;3;-;-;8
"312330 DORES DO TURVO";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"312352 DURANDE";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"312360 ELOI MENDES";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"312370 ENGENHEIRO CALDAS";-;-;-;-;3;4;2;-;-;1;2;-;-;12
"312380 ENGENHEIRO NAVARRO";-;-;-;-;-;-;-;-;1;1;1;2;-;5
"312410 ESMERALDAS";-;-;-;-;-;1;2;-;-;-;2;-;-;5
"312420 ESPERA FELIZ";-;-;-;-;-;-;-;-;-;-;3;4;-;7
"312430 ESPINOSA";-;-;3;2;-;1;3;4;5;10;10;10;-;48
"312440 ESPIRITO SANTO DO DOURADO";-;-;1;1;1;-;-;-;-;-;-;-;-;3
"312450 ESTIVA";1;-;-;-;1;-;-;-;-;-;-;-;-;2
"312470 ESTRELA DO INDAIA";-;-;-;-;-;-;-;2;-;-;1;1;-;4
"312480 ESTRELA DO SUL";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"312490 EUGENOPOLIS";-;1;-;-;1;-;3;2;3;1;-;-;-;11
"312520 FAMA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"312530 FARIA LEMOS";-;-;-;-;-;-;-;1;-;-;1;-;-;2
"312540 FELICIO DOS SANTOS";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"312560 FELISBURGO";-;-;-;-;-;-;-;2;1;3;3;14;4;27
"312570 FELIXLANDIA";-;-;1;-;2;1;-;-;1;1;-;-;-;6
"312580 FERNANDES TOURINHO";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"312590 FERROS";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"312595 FERVEDOURO";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"312610 FORMIGA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"312620 FORMOSO";-;1;-;-;1;-;-;-;-;-;-;-;-;2
"312630 FORTALEZA DE MINAS";-;-;-;-;-;1;-;-;-;-;-;2;-;3
"312650 FRANCISCO BADARO";2;1;1;2;-;1;2;1;-;-;-;-;-;10
"312660 FRANCISCO DUMONT";-;2;-;-;-;-;-;-;1;-;1;-;-;4
"312670 FRANCISCO SA";2;1;1;-;-;1;3;-;-;1;1;-;-;10
"312690 FREI INOCENCIO";-;-;-;-;-;-;-;-;3;-;5;6;-;14
"312707 FRUTA DE LEITE";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"312710 FRUTAL";2;-;-;-;1;1;1;-;-;-;1;-;-;6
"312730 GALILEIA";-;-;-;3;-;-;-;-;-;-;-;-;1;4
"312735 GLAUCILANDIA";-;-;-;-;1;2;-;1;-;-;3;-;-;7
"312737 GOIABEIRA";-;-;-;-;-;-;-;-;-;-;2;2;1;5
"312740 GONCALVES";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"312750 GONZAGA";2;1;1;-;-;1;1;-;-;-;-;-;-;6
"312760 GOUVEIA";-;-;-;-;1;3;1;-;-;3;2;-;-;10
"312770 GOVERNADOR VALADARES";9;4;7;6;3;5;7;9;3;9;6;7;5;80
"312780 GRAO MOGOL";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"312810 GUAPE";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"312825 GUARACIAMA";-;-;-;1;-;-;-;-;-;-;1;-;-;2
"312860 GUARDA-MOR";1;-;-;-;-;-;-;1;1;-;-;-;-;3
"312870 GUAXUPE";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"312900 GUIRICEMA";-;-;-;-;1;-;-;2;-;-;2;-;-;5
"312910 GURINHATA";-;-;-;-;1;-;-;-;-;-;2;-;-;3
"312930 IAPU";3;2;-;1;3;4;1;-;4;11;2;-;-;31
"312960 IBIAI";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"312965 IBIRACATU";2;1;-;-;4;1;1;-;-;-;-;-;-;9
"312970 IBIRACI";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"312980 IBIRITE";2;-;1;1;5;3;2;5;27;11;2;-;-;59
"313005 ICARAI DE MINAS";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"313010 IGARAPE";12;6;8;7;9;10;12;12;21;13;32;29;-;171
"313020 IGARATINGA";-;-;-;-;1;2;-;-;-;4;6;5;-;18
"313050 ILICINEA";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"313070 INDIANOPOLIS";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"313090 INHAPIM";-;-;-;2;-;2;2;-;-;-;5;8;3;22
"313100 INHAUMA";-;2;1;-;-;-;-;-;-;1;2;-;-;6
"313115 IPABA";1;4;3;7;6;4;3;2;8;5;1;1;-;45
"313120 IPANEMA";-;-;-;-;-;-;-;-;1;-;1;-;-;2
"313130 IPATINGA";18;31;24;32;32;33;36;32;30;34;29;3;-;334
"313140 IPIACU";25;22;-;1;1;1;-;-;-;-;-;1;-;51
"313170 ITABIRA";2;1;-;-;-;-;-;1;2;-;3;2;1;12
"313180 ITABIRINHA";-;1;1;-;-;1;-;-;-;-;-;-;-;3
"313190 ITABIRITO";-;-;1;1;1;3;3;4;9;16;15;9;-;62
"313200 ITACAMBIRA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"313220 ITAGUARA";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"313240 ITAJUBA";-;2;1;-;-;2;1;-;1;-;-;-;-;7
"313250 ITAMARANDIBA";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"313270 ITAMBACURI";5;1;3;1;-;1;1;-;1;5;2;1;3;24
"313290 ITAMOGI";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"313330 ITAOBIM";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"313340 ITAPAGIPE";-;-;-;-;-;1;-;-;2;1;-;-;-;4
"313350 ITAPECERICA";-;-;-;-;1;1;-;1;3;-;-;-;-;6
"313380 ITAUNA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"313400 ITINGA";-;-;-;-;-;-;-;-;-;1;-;1;-;2
"313410 ITUETA";-;-;-;-;-;-;-;1;1;1;2;1;-;6
"313420 ITUIUTABA";9;4;10;8;6;3;17;69;97;111;115;119;7;575
"313440 ITURAMA";4;1;5;4;1;-;4;2;2;2;2;-;-;27
"313490 JACUTINGA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"313500 JAGUARACU";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"313505 JAIBA";-;-;-;-;-;-;-;1;-;2;2;3;-;8
"313510 JANAUBA";15;11;11;9;14;28;21;22;60;77;110;173;48;599
"313520 JANUARIA";1;-;1;1;1;3;1;4;19;31;29;25;4;120
"313545 JENIPAPO DE MINAS";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"313550 JEQUERI";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"313570 JEQUITIBA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"313580 JEQUITINHONHA";-;1;1;-;-;1;2;-;1;1;-;-;-;7
"313610 JOANESIA";-;-;-;-;-;-;-;-;3;1;5;2;-;11
"313620 JOAO MONLEVADE";2;-;2;-;1;-;-;-;-;-;-;1;-;6
"313630 JOAO PINHEIRO";-;-;-;-;1;1;-;3;4;4;14;20;3;50
"313640 JOAQUIM FELICIO";-;-;1;-;-;-;-;-;-;-;1;2;-;4
"313650 JORDANIA";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"313655 JOSE RAYDAN";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"313670 JUIZ DE FORA";4;1;3;2;1;1;-;3;3;2;3;-;-;23
"313680 JURAMENTO";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"313720 LAGOA DA PRATA";13;9;3;5;-;-;1;-;-;-;-;-;-;31
"313730 LAGOA DOS PATOS";-;-;-;1;-;-;-;1;-;-;-;-;-;2
"313740 LAGOA DOURADA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"313750 LAGOA FORMOSA";-;-;-;1;1;-;-;-;-;-;1;-;-;3
"313753 LAGOA GRANDE";-;-;-;-;-;1;1;1;-;-;-;-;-;3
"313760 LAGOA SANTA";-;1;-;-;-;-;-;-;-;1;-;-;-;2
"313770 LAJINHA";-;-;-;-;-;-;1;-;1;-;-;-;-;2
"313780 LAMBARI";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"313820 LAVRAS";2;-;-;-;1;2;-;-;3;2;-;-;-;10
"313840 LEOPOLDINA";-;-;1;-;-;-;-;-;1;-;-;-;-;2
"313865 LONTRA";-;-;-;-;-;-;-;-;1;-;2;1;-;4
"313868 LUISLANDIA";3;1;2;-;1;4;5;-;4;1;3;9;1;34
"313880 LUZ";-;-;-;1;-;-;-;-;-;-;1;-;-;2
"313890 MACHACALIS";-;-;-;-;3;6;17;35;88;80;51;65;14;359
"313920 MALACACHETA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"313925 MAMONAS";1;-;2;-;-;-;-;-;-;1;-;-;-;4
"313950 MANHUMIRIM";-;-;1;-;-;-;-;1;-;-;-;-;-;2
"313960 MANTENA";-;-;-;2;1;2;4;1;3;5;-;-;-;18
"313970 MARAVILHAS";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"313990 MARIA DA FE";1;1;-;-;-;1;-;-;-;2;3;-;-;8
"314000 MARIANA";-;-;-;1;2;1;1;1;3;-;1;-;-;10
"314010 MARILAC";-;-;-;-;-;-;-;-;-;-;7;-;-;7
"314015 MARIO CAMPOS";-;-;-;-;1;1;-;-;-;1;1;-;-;4
"314030 MARLIERIA";-;-;-;-;-;-;-;2;-;-;-;1;-;3
"314050 MARTINHO CAMPOS";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"314060 MATERLANDIA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"314070 MATEUS LEME";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"314080 MATIAS BARBOSA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"314085 MATIAS CARDOSO";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"314090 MATIPO";1;-;1;-;-;-;-;-;-;-;-;-;-;2
"314100 MATO VERDE";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"314110 MATOZINHOS";-;-;-;-;3;6;5;1;4;7;2;-;1;29
"314130 MEDEIROS";-;-;-;-;1;-;-;-;-;3;-;-;-;4
"314180 MINAS NOVAS";4;3;2;-;-;-;-;1;1;-;-;-;-;11
"314220 MIRAI";-;-;-;-;-;1;2;-;1;-;-;-;-;4
"314230 MOEDA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"314240 MOEMA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"314250 MONJOLOS";-;-;1;2;-;-;1;-;-;-;-;-;-;4
"314260 MONSENHOR PAULO";-;-;-;-;1;1;-;3;3;5;2;-;-;15
"314290 MONTE AZUL";-;-;3;-;-;-;-;-;-;-;-;-;-;3
"314300 MONTE BELO";-;-;-;-;-;-;-;1;-;-;1;-;-;2
"314310 MONTE CARMELO";3;3;2;2;4;4;4;4;4;5;5;1;-;41
"314320 MONTE SANTO DE MINAS";-;-;-;-;-;-;-;-;-;1;1;-;-;2
"314330 MONTES CLAROS";-;-;-;-;-;1;1;-;-;1;1;1;-;5
"314340 MONTE SIAO";-;-;-;-;1;-;-;1;-;-;-;-;-;2
"314350 MORADA NOVA DE MINAS";1;-;-;-;1;1;1;-;-;-;-;1;-;5
"314430 NANUQUE";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"314435 NAQUE";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"314437 NATALANDIA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"314440 NATERCIA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"314450 NAZARENO";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"314460 NEPOMUCENO";-;-;-;-;-;-;-;1;-;1;2;3;2;9
"314480 NOVA LIMA";-;-;-;1;-;-;-;-;-;1;-;-;-;2
"314500 NOVA PONTE";-;1;-;-;1;-;1;2;-;-;-;-;-;5
"314505 NOVA PORTEIRINHA";1;-;-;-;-;2;2;5;-;2;3;2;-;17
"314510 NOVA RESENDE";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"314520 NOVA SERRANA";8;16;9;9;10;12;21;31;33;39;54;39;3;284
"314530 NOVO CRUZEIRO";-;-;-;-;-;-;-;-;4;2;2;1;-;9
"314537 NOVORIZONTE";-;4;6;5;1;-;1;7;4;1;10;4;2;45
"314545 OLHOS-D'AGUA";-;-;-;-;-;-;-;1;-;1;-;1;-;3
"314560 OLIVEIRA";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"314585 ORATORIOS";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"314600 OURO FINO";2;-;2;-;-;-;-;-;2;-;-;-;-;6
"314610 OURO PRETO";-;-;-;-;-;-;1;1;-;1;-;-;-;3
"314620 OURO VERDE DE MINAS";-;-;-;-;-;-;1;2;3;4;-;-;-;10
"314625 PADRE CARVALHO";4;-;-;1;-;-;-;-;-;-;-;-;-;5
"314655 PAI PEDRO";1;-;-;1;-;1;-;1;-;1;2;1;-;8
"314670 PALMA";-;1;1;-;-;2;1;-;-;1;2;-;-;8
"314690 PAPAGAIOS";-;-;-;-;-;-;-;5;-;-;-;-;-;5
"314700 PARACATU";-;-;-;1;1;3;1;6;3;4;4;1;-;24
"314710 PARA DE MINAS";-;-;-;-;-;-;1;2;-;-;-;-;-;3
"314720 PARAGUACU";-;-;-;-;-;-;1;-;2;1;-;-;-;4
"314740 PARAOPEBA";-;-;-;-;-;-;1;7;18;13;6;6;-;51
"314790 PASSOS";-;-;-;-;1;-;1;-;-;-;-;-;-;2
"314795 PATIS";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"314800 PATOS DE MINAS";1;1;-;1;3;2;2;1;3;3;2;-;-;19
"314810 PATROCINIO";2;8;5;2;2;2;4;1;5;7;5;7;-;50
"314820 PATROCINIO DO MURIAE";1;-;1;2;1;6;1;1;5;1;1;1;4;25
"314890 PEDRA DO INDAIA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"314915 PEDRAS DE MARIA DA CRUZ";-;-;-;-;-;1;-;-;1;2;-;-;-;4
"314920 PEDRINOPOLIS";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"314930 PEDRO LEOPOLDO";-;-;-;-;-;1;6;34;53;34;52;21;1;202
"314950 PEQUERI";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"314960 PEQUI";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"314970 PERDIGAO";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"314980 PERDIZES";1;-;2;-;-;-;1;-;-;-;-;3;-;7
"314990 PERDOES";1;-;-;-;-;-;-;2;2;3;2;1;-;11
"314995 PERIQUITO";-;-;-;-;-;-;-;-;-;-;2;-;-;2
"315000 PESCADOR";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"315015 PIEDADE DE CARATINGA";-;2;2;-;1;-;1;-;2;-;1;1;-;10
"315040 PIEDADE DOS GERAIS";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"315053 PINGO-D'AGUA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"315080 PIRANGA";-;-;-;-;-;-;1;1;2;-;1;-;-;5
"315100 PIRANGUINHO";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"315120 PIRAPORA";-;-;-;-;-;-;-;-;9;6;12;9;-;36
"315140 PITANGUI";1;-;-;1;1;3;1;3;3;4;2;-;-;19
"315150 PIUMHI";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"315160 PLANURA";1;-;-;2;4;7;12;11;8;7;1;13;6;72
"315170 POCO FUNDO";1;-;-;-;1;1;-;-;-;1;-;-;-;4
"315180 POCOS DE CALDAS";1;1;-;-;-;1;-;-;-;-;-;-;-;3
"315200 POMPEU";-;-;6;6;2;2;19;22;46;39;34;16;6;198
"315210 PONTE NOVA";-;3;5;2;1;1;-;-;-;-;-;-;-;12
"315213 PONTO CHIQUE";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"315220 PORTEIRINHA";-;1;-;-;1;2;-;2;3;1;3;-;1;14
"315230 PORTO FIRME";-;1;1;1;-;-;-;-;-;-;-;-;-;3
"315240 POTE";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"315250 POUSO ALEGRE";-;-;1;-;-;-;2;-;-;-;-;-;-;3
"315270 PRADOS";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"315280 PRATA";55;60;74;50;72;84;86;82;99;69;122;46;2;901
"315310 PRESIDENTE BERNARDES";1;-;-;-;-;-;-;-;-;-;-;-;1;2
"315320 PRESIDENTE JUSCELINO";-;-;-;3;1;-;1;-;5;9;7;-;-;26
"315350 ALTO JEQUITIBA";-;-;-;-;-;-;-;-;-;-;-;4;1;5
"315360 PRUDENTE DE MORAIS";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"315390 RAPOSOS";1;-;-;-;-;1;-;-;-;1;-;-;-;3
"315400 RAUL SOARES";-;-;-;2;-;1;1;-;-;-;-;-;-;4
"315410 RECREIO";-;-;-;-;-;-;-;-;-;-;2;-;-;2
"315415 REDUTO";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"315430 RESPLENDOR";-;-;-;-;-;-;-;4;3;1;-;7;-;15
"315445 RIACHINHO";-;1;-;1;-;-;-;-;-;-;-;-;-;2
"315460 RIBEIRAO DAS NEVES";5;7;1;2;4;14;1;3;3;8;6;-;-;54
"315490 RIO CASCA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"315550 RIO PARANAIBA";-;-;1;2;2;1;4;1;-;2;-;3;1;17
"315560 RIO PARDO DE MINAS";1;1;-;1;-;-;1;-;-;-;1;1;-;6
"315580 RIO POMBA";-;1;-;-;-;-;-;-;1;-;-;-;-;2
"315630 RODEIRO";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"315640 ROMARIA";-;-;1;-;-;-;-;-;-;-;2;1;-;4
"315650 RUBELITA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"315660 RUBIM";-;-;-;-;-;1;1;1;-;-;-;-;-;3
"315670 SABARA";1;2;1;2;4;5;2;7;9;7;7;4;3;54
"315680 SABINOPOLIS";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"315690 SACRAMENTO";-;-;-;-;-;-;-;-;1;-;-;1;-;2
"315700 SALINAS";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"315730 SANTA BARBARA DO TUGURIO";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"315750 SANTA EFIGENIA DE MINAS";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"315765 SANTA HELENA DE MINAS";-;-;2;-;1;-;-;3;6;15;7;3;3;40
"315770 SANTA JULIANA";-;-;2;3;4;6;3;14;4;3;8;5;-;52
"315780 SANTA LUZIA";2;-;3;3;-;1;-;-;-;3;-;3;1;16
"315790 SANTA MARGARIDA";1;-;-;-;-;-;-;-;-;-;-;-;-;1
